City_ID,City,Country,Lat,Long,Max temp,Humidity,Cloudness,Wind S,Current Description
181,Sincai,RO,46.65,24.3833,56.35,43,16,2.15,few clouds
182,Council Bluffs,US,41.2619,-95.8608,54.45,92,90,16.11,overcast clouds
183,Chalatenango,SV,14.0333,-88.9333,79.56,84,56,0.96,broken clouds
184,Jambi,ID,-1.6,103.6167,77.14,89,31,1.95,scattered clouds
185,Hofn,IS,64.2539,-15.2082,41.41,86,60,4.07,broken clouds
186,Havoysund,NO,70.9963,24.6622,34.03,74,44,25.88,scattered clouds
187,Madras,IN,13.0878,80.2785,84.18,74,40,6.91,haze
188,Togur,RU,58.3631,82.8265,26.44,79,10,8.59,clear sky
189,Russell,US,32.3502,-85.1999,61.79,69,1,0.0,clear sky
190,Bubaque,GW,11.2833,-15.8333,82.51,73,87,8.21,overcast clouds
191,Takoradi,GH,4.8845,-1.7554,82.44,68,96,7.58,overcast clouds
192,Gigmoto,PH,13.7796,124.39,79.83,84,76,8.32,broken clouds
193,Vydrino,RU,51.485,104.8461,44.01,71,14,5.14,few clouds
194,Akureyri,IS,65.6835,-18.0878,37.33,93,90,3.44,overcast clouds
195,Concepcion Del Oro,MX,24.6333,-101.4167,61.81,51,2,4.94,clear sky
196,Bredasdorp,ZA,-34.5322,20.0403,76.28,80,100,15.68,light rain
197,Ribeira Grande,PT,38.5167,-28.7,68.4,77,75,13.8,broken clouds
198,Bengkulu,ID,-3.8004,102.2655,77.23,85,100,2.95,overcast clouds
199,Mangai,CD,-4.05,19.5333,86.13,54,88,5.1,overcast clouds
200,Nanortalik,GL,60.1432,-45.2371,38.5,58,0,1.59,clear sky
201,Sabzevar,IR,36.2126,57.6819,52.88,40,20,29.93,few clouds
202,Road Town,VG,18.4167,-64.6167,86.2,66,20,6.91,few clouds
203,Gilgit,PK,35.9221,74.3087,55.62,46,10,4.18,clear sky
204,Kargasok,RU,59.0556,80.8572,25.74,79,7,11.23,clear sky
205,Vardo,NO,70.3705,31.1107,34.0,86,40,26.46,scattered clouds
206,Bilibino,RU,68.0546,166.4372,-22.47,100,84,2.91,broken clouds
207,Seoul,KR,37.5683,126.9778,51.4,56,0,2.3,clear sky
208,Valley City,US,46.9233,-98.0032,47.39,100,90,5.75,light intensity drizzle
209,Gurupi,BR,-11.7292,-49.0686,95.18,32,79,8.59,broken clouds
210,Bathsheba,BB,13.2167,-59.5167,86.61,62,20,19.57,few clouds
211,Kavaratti,IN,10.5669,72.642,81.72,75,28,7.74,light rain
212,Lengshuijiang,CN,27.6881,111.4294,62.42,72,100,0.81,light rain
213,Kodiak,US,57.79,-152.4072,30.81,55,25,8.16,scattered clouds
214,Hithadhoo,MV,-0.6,73.0833,82.49,75,12,13.71,few clouds
215,Taketa,JP,32.9652,131.3785,52.18,81,0,3.78,clear sky
216,Namibe,AO,-15.1961,12.1522,75.83,64,40,17.27,scattered clouds
217,Pringsewu,ID,-5.3582,104.9744,75.78,93,100,2.71,light rain
218,Nemuro,JP,43.3236,145.575,54.82,89,100,13.18,overcast clouds
219,Waddan,LY,29.1614,16.139,79.14,35,91,7.49,overcast clouds
220,Banda Aceh,ID,5.5577,95.3222,78.69,83,100,8.61,overcast clouds
221,Mbandaka,CD,0.0487,18.2603,82.02,71,82,1.81,light rain
222,Leh,IN,34.1667,77.5833,28.27,57,19,2.82,few clouds
223,Souillac,MU,-20.5167,57.5167,75.58,69,20,10.36,few clouds
224,Adrar,MR,20.5022,-10.0711,87.82,23,25,18.72,scattered clouds
225,Port Said,EG,31.2565,32.2841,76.98,73,0,9.22,clear sky
226,Mombetsu,JP,44.3525,143.3525,47.86,77,100,4.99,overcast clouds
227,Yarmouth,US,41.7057,-70.2286,55.54,97,100,45.01,overcast clouds
228,Jibuti,DJ,11.5,42.5,83.62,47,25,16.42,scattered clouds
229,Burnie,AU,-41.0667,145.9167,54.91,84,91,8.23,overcast clouds
230,Ginda,IN,30.6945,78.4932,50.07,62,4,6.2,clear sky
231,Baneh,IR,35.9975,45.8853,50.23,47,93,6.08,overcast clouds
232,Ponta Do Sol,PT,32.6667,-17.1,75.13,64,37,2.48,scattered clouds
233,Maceio,BR,-9.6658,-35.7353,83.64,78,75,9.22,broken clouds
234,Sakakah,SA,29.9697,40.2064,87.37,24,89,5.1,overcast clouds
235,Saint Anthony,US,45.0205,-93.218,49.93,78,90,4.0,overcast clouds
236,Paamiut,GL,61.994,-49.6678,32.4,65,3,9.42,clear sky
237,Wladyslawowo,PL,54.7909,18.4009,56.93,81,100,24.0,overcast clouds
238,Srednekolymsk,RU,67.45,153.6833,-9.38,99,74,3.06,broken clouds
239,Xian,CN,34.2583,108.9286,52.61,66,92,2.33,overcast clouds
240,Key West,US,24.5557,-81.7826,86.0,70,40,5.75,scattered clouds
241,Luderitz,NA,-26.6481,15.1594,67.21,61,100,7.18,overcast clouds
242,Bambamarca,PE,-6.6833,-78.5333,64.17,80,85,5.48,light rain
243,Binga,ZW,-17.6203,27.3414,90.12,34,35,10.42,scattered clouds
244,Sao Filipe,CV,14.8961,-24.4956,79.59,74,42,9.1,scattered clouds
245,Codrington,AU,-38.2667,141.9667,56.01,97,53,7.27,broken clouds
246,Talnakh,RU,69.4865,88.3972,3.99,94,100,15.1,overcast clouds
247,Parana,AR,-31.732,-60.5238,90.3,34,0,13.29,clear sky
248,Korla,CN,41.7597,86.1469,51.66,38,100,2.35,overcast clouds
249,Suntar,RU,62.1444,117.6319,31.55,95,99,11.01,light snow
250,Koungou,YT,-12.7336,45.2042,82.11,65,0,4.61,clear sky
251,Piacabucu,BR,-10.4056,-36.4344,84.58,58,5,11.23,clear sky
252,Saint George,US,37.1041,-113.5841,52.36,75,1,0.0,clear sky
253,Sandi,IN,27.3,79.95,71.91,55,0,2.1,clear sky
254,Puerto Baquerizo Moreno,EC,-0.9,-89.6,68.99,83,75,13.8,broken clouds
255,Dahuk,IQ,36.8695,42.994,68.11,31,98,2.42,overcast clouds
256,Baherden,TM,38.4362,57.4316,50.56,66,64,5.84,broken clouds
257,Portland,US,45.5234,-122.6762,53.58,93,90,7.0,overcast clouds
258,Amuntai,ID,-2.4177,115.2494,76.17,93,99,1.43,overcast clouds
259,Nago,JP,26.5881,127.9761,73.56,73,6,9.28,clear sky
260,Nouakchott,MR,18.0858,-15.9785,93.13,41,39,15.28,scattered clouds
261,Mugur-Aksy,RU,50.35,90.5,25.93,72,100,5.44,overcast clouds
262,Henties Bay,NA,-22.116,14.2845,64.85,73,43,17.9,scattered clouds
263,Urucara,BR,-2.5364,-57.76,87.01,67,72,3.24,broken clouds
264,Imperatriz,BR,-5.5264,-47.4917,86.05,70,75,3.44,broken clouds
265,Waldoboro,US,44.0954,-69.3756,47.5,91,100,20.13,overcast clouds
266,Makakilo City,US,21.3469,-158.0858,72.28,88,1,3.44,clear sky
267,Vilhena,BR,-12.7406,-60.1458,79.02,73,40,8.05,scattered clouds
268,Chokurdakh,RU,70.6333,147.9167,2.17,91,100,5.39,overcast clouds
269,Clyde River,CA,70.4692,-68.5914,34.03,80,90,6.91,overcast clouds
270,Baghdad,IQ,33.3406,44.4009,84.11,23,0,5.75,clear sky
271,Constitucion,CL,-35.3333,-72.4167,63.55,63,3,4.88,clear sky
272,Mahajanga,MG,-15.7167,46.3167,86.02,48,20,12.66,few clouds
273,Svetlaya,RU,46.5389,138.3297,44.44,74,99,7.0,overcast clouds
274,Masuda,JP,34.6667,131.85,59.34,77,0,5.17,clear sky
275,Kijang,KR,35.2442,129.2139,55.13,46,0,4.72,clear sky
276,Luangwa,ZM,-15.6167,30.4167,92.77,32,12,11.77,few clouds
277,Hamilton,US,39.1834,-84.5333,49.39,82,75,1.01,broken clouds
278,Kaitong,CN,44.8135,123.15,43.74,42,0,5.55,clear sky
279,Merauke,ID,-8.4667,140.3333,80.76,80,100,12.55,overcast clouds
280,Antofagasta,CL,-23.65,-70.4,63.68,59,3,5.95,clear sky
281,Necochea,AR,-38.5473,-58.7368,77.58,43,5,3.85,clear sky
282,Dolores,AR,-36.3132,-57.6792,85.59,42,3,5.95,clear sky
283,Kamaishi,JP,39.2667,141.8833,55.72,87,56,6.78,broken clouds
284,Rypefjord,NO,70.6333,23.6667,33.55,69,20,16.11,few clouds
285,Galich,RU,58.3797,42.3475,36.48,97,100,10.49,moderate rain
286,Ancud,CL,-41.8697,-73.8203,56.73,73,90,6.13,overcast clouds
287,Padang,ID,-0.9492,100.3543,78.85,82,77,3.96,broken clouds
288,Vao,NC,-22.6667,167.4833,72.7,84,72,8.3,broken clouds
289,Zwedru,LR,6.0667,-8.1281,84.78,65,83,2.59,light rain
290,Santo Antonio Do Ica,BR,-3.1022,-67.9397,81.73,80,100,2.46,overcast clouds
